observers,transectID,plotID,date,species,observation,comments,count,waypoint,location,Side of transect,distance,bearing,tree,height,photo number
BW,T3,1,13-06-18 19:00,Mt brushtail possum,Visual,,2,T3P1 4,"-37.2523235,148.8467423",Left,8,315,A. dealbata ,15,
"BW, TW, AS, CN",T2,4,30-10-18 21:34,Mt brushtail possum,Visual,,1,,,Right,5,120,Acacia 4,6,
"BW, TW, AS, CN",T2,4,30-10-18 21:45,Southern Boobook,Vocal ,,1,,"-37.5203823,148.700264",Left,,,,,
"BW, TW, AS, CN",T2,4,30-10-18 22:56,Mt brushtail possum,Visual,,1,,"-37.5137595,148.7031682",Right,8,70,Acacia 4,6,
"BW, AS, CN",T2,5,30-10-18 23:47,Southern Boobook,Vocal ,,,,"-37.5792344,148.7344494",Right,,,,,
CN,T2,3,03-11-18 21:19,Greater Glider,Visual,dark grey,1,t2p3 gg,"-37.3218437,148.6511805",Left,50,21,"Eucalyptus cypellocarpa stag
tree 4 in t2p3",15 m,
CN,T2 ,3,03-11-18 21:31,Southern Boobook,Vocal ,,1,,"-37.3217717,148.6518275",Left,250,77,,,
CN,T2,3,03-11-18 21:40,Southern Boobook,Vocal ,,1,,"-37.3225052,148.6507752",Right,500,330,,,
CN,T2,3,03-11-18 22:15,Commom brushtail possum,Visual,,1,,"-37.3255526,148.6524412",Left,30,330,Acacia dealbata ,15,
"BW, AS, CN",T2.5,2,03-11-18 23:03,Greater Glider,Visual,brown,1,t2.5p2 gg2,"-37.3310987,148.6518822",Right,10,300,Eucalyptus cypellocarpa ,30,
"BW, AS",T2,3,03-11-18 23:20,Sugar glider,Visual,,2,,,Left,50,,,30,
"BW, AS",T2.5,4,03-11-18 23:20,Southern Boobook,Vocal ,,5,,,Left,,,,30,
CN,T2.5,3,03-11-18 23:46,Southern Boobook,Vocal ,,1,,"-37.3299962,148.655101",,500,240,,,
CN,T2.5,3,04-11-18 0:42,Ringtail possum,Visual,,1,,"-37.3299355,148.6541266",Left,30,205,Eucalyptus cypellocarpa ,17.5,
"BW, AS, CN",T1.5,5,04-11-18 22:06,Greater Glider,Visual,dark grey,1,T1SL1,"-37.7754768,148.1830411",Right,10,200,Eucalyptus cypellocarpa ,20,
"BW, AS, CN",T1.5,5,04-11-18 22:18,Southern Boobook,Vocal ,,1,T1SL1,,Right,,,,,
"BW, AS, CN",T1.5,5,04-11-18 22:24,Greater Glider,Visual,black in hollow,1,T1SL2,"-37.7767433,148.1834616",Left,25,40,Eucalyptus cypellocarpa ,36,
"BW, AS, CN",T1.5,5,04-11-18 22:55,Ringtail possum,Visual,,1,,,Left,7,65,Eucalyptus sieberi ,7,
"BW, AS, CN",T1.5,5,04-11-18 23:08,Sugar glider,Visual,gliding into pines,1,,"-37.7827545,148.1829398",Left,,,,,
"BW, AS, CN",T1.5,5,04-11-18 23:09,Powerful owl,Vocal ,,1,,"-37.78288,148.1831569",Right,,,,,
"BW, AS, CN",T1.5,5,04-11-18 23:10,Commom brushtail possum,Vocal ,,2,,"-37.78288,148.1831569",,,,,,
"BW, AS, CN",T1.5,1,04-11-18 23:10,Ringtail possum,Visual,mum and baby ,2,T1.5P1,"-37.78288,148.1831569",Left,5,68,allocasuarina ,3,
"BW, AS, CN",T1.5,1,04-11-18 23:47,Ringtail possum,Visual,,1,,"-37.7904902,148.1866364",Left,15,51,,2,
"BW, AS, CN",T1.5,1,04-11-18 23:52,Ringtail possum,Visual,,1,,"-37.7910939,148.1871019",Right,5,210,,2,
"BW, AS, CN",T3.5,1,06-11-18 21:46,Southern Boobook,Vocal ,,2,,"-37.1902373,148.8417838",Left,,350,,,
"BW, AS, CN",T3.5,1,06-11-18 22:00,Greater Glider,Visual,brown on tree 14,1,T35P1SL1,"-37.190295,148.8421715",Right,30,190,Eucalyptus croagingalensis ,25,
"BW, AS, CN",T3.5,1,06-11-18 22:06,Greater Glider,Visual,"brown, in plot",1,T35P1SL2,"-37.1904067,148.843256",Right,10,175,Eucalyptus cypellocarpa ,20,
"BW, AS, CN",T3.5,1,06-11-18 22:15,Greater Glider,Visual,brown,1,T35P1SL3,"-37.1906325,148.8447211",Right,25,100,Eucalyptus obliqua ,18,
"BW, AS, CN",T3.5,1,06-11-18 22:26,Greater Glider,Visual,brown,1,T35P1SL4,"-37.1903338,148.8455892",Left,25,60,Eucalyptus cypellocarpa ,20,
"BW, AS, CN",T3.5,1,06-11-18 22:30,Greater Glider,Visual,brown,1,T35P1SL5,"-37.1907068,148.8455573",Left,23,2,Eucalyptus obliqua ,16,
"BW, AS, CN",T3.5,1,06-11-18 22:40,Greater Glider,Visual,brown,1,T35P1SL6,"-37.1907456,148.8465621",Right,50,175,Eucalyptus cypellocarpa ,35,
"BW, AS, CN",T3.5,1,06-11-18 22:47,Southern Boobook,Vocal ,,2,,"-37.1910436,148.8474058",Left,,,,,
